country.name;total(sum of scores from 6 problems);Population, total;GDP (current US$);GDP per capita (current US$);Mortality rate, under-5 (per 1,000);Individuals using the Internet (% of population);Land area (sq. km);Life expectancy at birth, total (years);Lower secondary school starting age (year);Primary education, duration (years);Sex ratio at birth (male births per female)
People's Republic of China;181;1379860000;1,11E+13;8016,431435;10,7;50,3;9424701,4;76,977;12;6;1,01
Albania;37;2880703;11386850130;3952,802538;9,6;56,9;27400;78,644;11;5;1,091
Republic of Korea;161;51014947;1,47E+12;28732,23108;3,5;89,8962558;97445;82,02439024;12;6;1,053
Algeria;60;39543154;1,66E+11;4197,421361;25,3;38,2;2381741;75,622;11;5;1,045
Democratic People's Republic of Korea;156;25258015;16200000000;645;21,1;0;120410;72,784;12;5;1,06
Australia;148;23815995;1,35E+12;56710,44572;3,9;84,56051491;7682300;82,4;12;7;1,057
Islamic Republic of Iran;145;81790841;4,08E+11;4990,936798;15,5;45,33497615;1628760;75,124;12;6;1,056
Argentina;70;43131966;5,95E+11;13789,06042;11,6;68,04306411;2736690;76,76;12;6;1,057
Canada;140;35702908;1,56E+12;43596,13554;5,4;90;8965590;81,9;12;6;1,051
Armenia;104;2878595;10553337673;3666,141876;14,4;59,10083377;28470;74,436;10;4;1,124
Austria;63;8642699;3,82E+11;44195,81759;3,7;83,94014193;82520;81,1902439;10;4;1,066
Azerbaijan;73;9649341;53074370486;5500,310382;26,3;77;82663;71,451;10;4;1,146
France;120;66548272;2,44E+12;36652,92231;4,2;78,00603771;547557;82,32195122;11;5;1,048
Croatia;119;4203604;50242783066;11952,31118;4,9;69,84503592;55964;77,27560976;11;4;1,061
Bangladesh;97;157830000;1,95E+11;1236,00506;38;12,9;130170;70,491;11;5;1,049
Belarus;84;9461076;56454734397;5967,052204;4,1;62,23036091;202978;73,62439024;10;4;1,063
Belgium;67;11274196;4,62E+11;41008,29672;4,1;85,05294175;30280;80,99268293;12;6;1,049
Hungary;113;9843028;1,25E+11;12717,0386;5,1;72,83473703;91260;75,56829268;11;4;1,056
Brazil;109;205188205;1,80E+12;8783,225984;15,9;58,32795173;8358140;74,332;11;5;1,045
Japan;109;127141000;4,44E+12;34960,63938;2,8;91,05802839;364500;83,79390244;12;6;1,054
Bolivia;5;11090085;33000198248;2975,648811;31,6;37,49;1083300;67,318;12;6;1,042
Kazakhstan;105;17542806;1,84E+11;10510,77189;11,9;70,8299336;2699700;71,97;11;4;1,065
Bosnia and Herzegovina;76;3524324;16211541593;4599,901029;6,3;52,6;51200;76,182;11;5;1,068
Botswana;1;2305171;13530738158;5869,732943;45,4;37,31205037;566730;63,818;13;7;1,032
Germany;102;81686611;3,36E+12;41103,25644;3,9;87,58979935;348860;80,64146341;10;4;1,053
Hong Kong;101;7291300;3,09E+11;42431,88828;33,3;84,94835296;1050;84,27804878;12;6;1,076
Bulgaria;100;7177991;50781996713;7074,681023;8,1;56,65625161;108560;74,61463415;11;4;1,062
Indonesia;100;259091970;8,61E+11;3322,581688;27,7;22,0627426;1877519;69,699;13;6;1,059
Italy;100;60730582;1,84E+12;30242,38614;3,5;58,14173496;295718;82,54390244;11;5;1,059
Cambodia;24;15417523;18049954289;1170,742816;31,7;18;176520;69,873;12;6;1,051
India;86;1322866505;2,10E+12;1590,173918;43,6;14,9;2973190;69,636;11;5;1,09
Israel;83;8380100;3,03E+11;36206,52222;3,9;77,35208966;21640;82,05121951;12;6;1,058
Chile;12;162190;2,43E+11;13569,9;8;76,63;756096;81,433;12;8;1,04
Georgia;80;3725276;14953950557;4014,185944;10,5;47,56975964;69490;73,297;12;6;1,075
Colombia;72;47119728;2,93E+11;6228,426299;15,6;55,90497251;1109500;76,257;11;5;1,045
Czech Republic;74;10546059;1,88E+11;17829,69832;3,2;75,6688387;77210;78,57804878;11;5;1,054
Costa Rica;53;4895242;56441917653;11529,95453;9,1;59,76295014;51060;79,086;12;6;1,046
Cuba;15;11339894;87133000000;7683,757891;5,7;37,30509742;104100;77,772;12;6;1,075
Greece;71;10820883;1,96E+11;18083,87791;4,4;66,83495949;128900;81,03658537;12;6;1,062
Cyprus;58;1187280;19909190059;23487,125;2,8;71,71574092;9240;80,966;12;6;1,065
Denmark;52;5683483;3,03E+11;53254,85637;4,1;96,33050162;40000;80,70243902;13;7;1,056
Ecuador;27;16195902;99290381000;6130,586676;15,4;48,94043379;248360;76,789;12;6;1,047
El Salvador;14;6231066;23438240000;3761,51368;15,4;26,80260496;20720;71,814;13;6;1,058
Estonia;51;1315407;22890762090;17402,03761;3,1;88,4097035;43470;77,5902439;13;6;1,065
Finland;26;5479531;2,35E+11;42801,90812;2,5;86,42213333;303910;81,4804878;13;6;1,048
Iceland;41;330815;17517210519;52951,68151;55,4;98,2;100250;82,46829268;13;7;1,054
Ghana;5;28870939;49406568433;1711,290666;2,6;23;227540;63,175;12;6;1,037
Ireland;37;4701957;2,92E+11;62053,98444;3,7;83,49479167;68890;81,45365854;13;8;1,052
Kosovo;24;1788196;6295820482;3520,766449;14,4;0;10887;78,922;11;5;1,07
Kyrgyzstan;17;5956900;6678178340;1121,082835;22,3;30,24704278;191800;70,65121951;11;4;1,061
Latvia;36;1977527;27263090547;13786,4568;5,1;79,20058292;62227;74,4804878;13;6;1,07
Liechtenstein;18;37355;6268391521;167805,9569;;96,6411951;160;82,65609756;12;5;1,282
Lithuania;54;2904910;41435533340;14263,96458;4,9;71,37805901;62650;74,32195122;11;4;1,058
Luxembourg;12;569604;60071584216;105462,0126;2,8;96,37671417;2574,46;82,29268293;12;6;1,054
Macau;88;615239;45047964934;73220,26876;7;77,60013186;30,4;83,984;12;6;1,088
Malaysia;66;31068833;3,01E+11;9699,584021;11,4;71,06406781;328550;75,094;12;6;1,068
Mexico;114;120149897;1,17E+12;9753,380048;8,2;57,43104299;1943950;74,682;12;6;1,039
Republic of Moldova;85;2835978;7745241913;2731,065584;16,2;69,00000447;32880;69,24;11;4;1,064
Mongolia;74;2964749;11619892396;3919,351148;15,8;22,50000413;1557255,4;69,498;11;5;1,049
Montenegro;19;622159;4054712083;6517,163752;19,4;68,11978601;13450;76,44878049;11;5;1,083
Morocco;27;34680458;1,10E+11;3139,243652;4,1;57,07999935;446300;72,92;12;6;1,046
Netherlands;76;16939923;7,66E+11;45193,40322;23,6;91,72413793;33670;81,5097561;12;6;1,052
New Zealand;72;4609400;1,78E+11;38630,72659;4,1;85,2;263310;81,45682927;11;6;1,056
Nicaragua;26;6298598;12756706583;2025,324776;5,5;19,7042915;120340;72,983;12;6;1,035
Nigeria;22;183995785;4,93E+11;2679,554765;18,8;24,5;910770;51,841;12;6;1,038
North Macedonia;45;2070226;10064515432;4861,553971;126,4;70,38020308;25220;75,40243902;11;5;1,075
Norway;54;5188607;3,86E+11;74355,51586;2,7;96,81032569;365190,7;82,30487805;13;7;1,059
Pakistan;25;210969298;2,71E+11;1282,443153;76,2;11;770880;65,697;10;5;1,055
Panama;9;3957099;54091800000;13669,55944;16,9;51,20542499;74120;77,468;12;6;1,058
Paraguay;53;6177950;36211447840;5861,401895;22,2;49,71630466;397300;73,191;12;6;1,051
Peru;118;30711863;1,90E+11;6180,194957;16,5;40,85260091;1280000;75,621;12;6;1,04
Philippines;87;103031365;3,06E+11;2974,299531;29,8;36,9;298170;71,268;12;6;1,08
Poland;117;37986412;4,77E+11;12560,05142;4,9;67,99698716;306190;77,45121951;13;6;1,057
Portugal;70;10358076;1,99E+11;19250,10654;3,7;68,63286148;91605,6;81,12439024;12;6;1,051
Puerto Rico;18;3473232;1,03E+11;29763,4883;6;63,46633538;8870;79,695;12;6;1,056
Romania;132;19815616;1,78E+11;8976,880535;9,2;55,76315563;230080;74,91219512;11;5;1,061
Russian Federation;141;144096870;1,36E+12;9313,013672;8,2;70,09924123;16376870;71,18341463;11;4;1,059
Saudi Arabia;81;32749848;6,54E+11;19977,79469;9,1;69,6162358;2149690;76,918;12;6;1,052
Serbia;100;7095383;39655958843;5588,980728;6,3;65,3170254;87460;75,28780488;11;4;1,07
Singapore;139;5535002;3,08E+11;55646,61875;2,7;83,2;709;82,74390244;12;6;1,062
Slovakia;97;5423801;88900883131;16390,88217;6,2;77,63468203;48082;76,56341463;10;4;1,054
Slovenia;46;2063531;43107506024;20890,16643;2,6;73,09865997;20142,6;80,77560976;12;6;1,058
South Africa;68;55876504;3,47E+11;6204,929901;37,3;51,91911572;1213090;63,95;14;7;1,042
Spain;47;46444832;1,20E+12;25754,36103;3,3;78,68963187;499661;82,83170732;12;6;1,062
Sri Lanka;51;20970000;85140963537;4060,131785;8,8;12,1;61893;74,927;10;5;1,043
Sweden;63;9799186;5,05E+11;51545,48361;2,9;90,61019664;407310,64;82,20487805;13;6;1,067
Switzerland;74;8282396;6,94E+11;83806,4476;4,3;87,4790556;39516,03;82,89756098;13;6;1,059
Syria;69;19205178;16468399180;857,4978675;41,8;29,97979724;183630;65,124;12;6;1,053
Tajikistan;57;8524063;8271454301;970,3652238;37,4;18,98;138790;69,306;11;4;1,061
Tanzania;0;52542823;47378603784;928,8064575;58;10;885800;64,651;14;7;1,028
Thailand;134;70294397;4,01E+11;5708,796925;10,8;39,31612674;510890;77,717;12;6;1,064
Trinidad and Tobago;26;1460177;26851970254;18389,53103;19,6;65,1;5130;74,503;12;7;1,041
Tunisia;41;11557779;45780077488;3960,97533;17,2;46,49999434;155360;75,692;12;6;1,059
Turkey;113;79646178;8,64E+11;10851,95413;13;53,74497914;769630;76,646;10;4;1,055
Turkmenistan;64;5766431;35799714286;6208,296655;42,4;14,99677482;469930;68,782;10;4;1,067
Uganda;6;37477356;32387183845;864,1800623;56;5,7;200520;61,086;13;7;1,026
Ukraine;135;45154036;91030959455;2124,662354;9,4;48,88464368;579290;71,1895122;10;4;1,068
United Kingdom;109;65116219;2,93E+12;45071,07432;4,5;92,00029987;241930;80,95609756;11;6;1,055
United States of America;185;320738994;1,82E+13;56762,72945;6,8;74,55420245;9147420;78,6902439;12;6;1,048
Uruguay;16;3402818;53274304222;15655,937;8,9;64,5707871;175020;77,483;12;6;1,056
Uzbekistan;64;31298900;86196265192;2753,971072;19,2;42,8;440600;70,475;11;4;1,083
Venezuela;13;30529716;1,25E+11;4109;19,1;58;882050;73,006;12;6;1,058
Vietnam;151;92191398;2,39E+11;2595,234979;21,9;45;313383;73,876;11;5;1,123
Taiwan;115;23512136;5,35E+11;22754;4,03;83,6;36197;79,63;12;6;1,07
